can I get this from my dog?,AnimalContact
can my dog catch corona virus?,AnimalContact
can I get this from my cat?,AnimalContact
Should I avoid contact with pets or other animals if I am sick with COVID-19?,AnimalContact
Animal contact,AnimalContact
can I get covid-19 from my pet?,AnimalContact
do dogs and cats get sick from corona virus?,AnimalContact
Can I go to a funeral?,AttendingFuneral
Should I avoid funerals?,AttendingFuneral
Can I go to a funeral of someone who died of  Corona Virus (COVID-19)?,AttendingFuneral
Are funerals safe?,AttendingFuneral
Am I at risk if I go to a funeral or visitation service for someone who died of COVID-19?,AttendingFuneral
WHO response,CDC_WHO_Response
What is the world health organization doing to help?,CDC_WHO_Response
Does WHO work to protect public health?,CDC_WHO_Response
What is the WHO doing to help?,CDC_WHO_Response
How is CDC helping Americans prepare?,CDC_WHO_Response
Does CDC work to protect public health?,CDC_WHO_Response
CDC response,CDC_WHO_Response
What is the center for disease control doing to help?,CDC_WHO_Response
What is CDC doing about COVID-19?,CDC_WHO_Response
Children and facemasks,ChildrenAndFaceMasks
can my child play outside without a mask?,ChildrenAndFaceMasks
does my daughter need to wear a facemask?,ChildrenAndFaceMasks
are facemasks recommended for children,ChildrenAndFaceMasks
Should children wear masks?,ChildrenAndFaceMasks
Can my kid still go to group activities?,ChildrenSocializing
do kids need to limit in person contact?,ChildrenSocializing
While school is out can my child go to sports practice?,ChildrenSocializing
Is social distancing important for kids too?,ChildrenSocializing
"While school�s out, can my child hang out with their friends?",ChildrenSocializing
Children socializing,ChildrenSocializing
How does community spread happen?,CommunitySpread
Community Spread,CommunitySpread
Can community spread happen?,CommunitySpread
Does  Corona Virus (COVID-19) spread to an entire community?,CommunitySpread
Why is community spread of this virus important?,CommunitySpread
What is community spread?,CommunitySpread
What does that term community spread mean?,CommunitySpread
is anyone near me sick,Covid_Case_Count
covid number in my state?,Covid_Case_Count
Does the US have a confirmed COVID case?,Covid_Case_Count
has anyone died of coronavirus in my state?,Covid_Case_Count
How many cases of COVID-19 are in the US?,Covid_Case_Count
what is the count of coronavirus infected people?,Covid_Case_Count
Where are cases?,Covid_Case_Count
how many people are infected in the us?,Covid_Case_Count
How many coronavirus cases are there in my area?,Covid_Case_Count
How many cases of the virus are there in the world?,Covid_Case_Count
Does MA have a confirmed COVID case?,Covid_Case_Count
Are there any cases near me?,Covid_Case_Count
how many people are sick in the US?,Covid_Case_Count
What cleaning methods kill the coronavirus?,Covid_Cleaning_Disinfecting
Whats the difference between cleaning and disinfecting?,Covid_Cleaning_Disinfecting
How do I clean my home properly?,Covid_Cleaning_Disinfecting
how do i get rid of germs at my home,Covid_Cleaning_Disinfecting
Does alcohol kill the coronavirus?,Covid_Cleaning_Disinfecting
Do I need lysol wipes?,Covid_Cleaning_Disinfecting
Do I have to use bleach to kill coronavirus?,Covid_Cleaning_Disinfecting
Are there disinfectants available that can inactivate (kill) COVID-19?,Covid_Cleaning_Disinfecting
How often do I need to clean my home to prevent the spread of coronavirus?,Covid_Cleaning_Disinfecting
"All the stores are out of disinfecting wipes, what do I do?",Covid_Cleaning_Disinfecting
Should I spray myself or my kids with disinfectant?,Covid_Cleaning_Disinfecting
How dangerous is this?,Covid_Description
How is COVID-19 spread?,Covid_Description
Is the coronavirus the same as a cold?,Covid_Description
Is the coronavirus the same as MERS?,Covid_Description
Is the coronavirus the same as SARS?,Covid_Description
what is novel coronavirus?,Covid_Description
What is COVID-19?,Covid_Description
what is the coronavirus?,Covid_Description
Where did the coronavirus come from?,Covid_Description
Has the cause of COVID-19 been identified?,Covid_Description
